Id,Label,timeset,modularity_class
1718,1718,,1
1719,1719,,1
1720,1720,,1
1721,1721,,1
1722,1722,,1
1723,1723,,4
1724,1724,,2
1725,1725,,1
1726,1726,,1
1727,1727,,1
1728,1728,,2
1729,1729,,1
1730,1730,,1
1731,1731,,1
1732,1732,,1
1733,1733,,2
1734,1734,,1
1735,1735,,2
1736,1736,,2
1737,1737,,1
1738,1738,,2
1739,1739,,1
1740,1740,,2
1741,1741,,1
1742,1742,,1
1743,1743,,1
1744,1744,,2
1745,1745,,1
1746,1746,,1
1747,1747,,2
1748,1748,,1
1749,1749,,1
1750,1750,,1
1751,1751,,1
1752,1752,,1
1753,1753,,4
1754,1754,,1
1755,1755,,2
1756,1756,,1
1757,1757,,4
1758,1758,,2
1759,1759,,1
1760,1760,,2
1761,1761,,1
1762,1762,,2
